close,high,low,open,symbol,volume,id,key,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
214.9,218.46,209,211.74,SE,3432953,HISTORICAL_PRICES,SE,3/19/2021,1.6162E+12,0.096093033,0.096093033,211.74,214.9,218.46,209,3432953,211.74,214.9,218.46,209,3432953,19-Mar-21,3.64,0.0172
217.84,222.46,215.03,218.39,SE,3131974,HISTORICAL_PRICES,SE,3/22/2021,1.61646E+12,0.111088442,0.111088442,218.39,217.84,222.46,215.03,3131974,218.39,217.84,222.46,215.03,3131974,22-Mar-21,2.94,0.0137
216.64,223.25,214.6,220,SE,3149430,HISTORICAL_PRICES,SE,3/23/2021,1.61655E+12,0.104967867,0.104967867,220,216.64,223.25,214.6,3149430,220,216.64,223.25,214.6,3149430,23-Mar-21,-1.2,-0.0055
197.5,218.01,196.702,218,SE,8021668,HISTORICAL_PRICES,SE,3/24/2021,1.61663E+12,0.00734469,0.00734469,218,197.5,218.01,196.702,8021668,218,197.5,218.01,196.702,8021668,24-Mar-21,-19.14,-0.0883
202.61,204.63,189.61,190,SE,6522038,HISTORICAL_PRICES,SE,3/25/2021,1.61672E+12,0.03340814,0.03340814,190,202.61,204.63,189.61,6522038,190,202.61,204.63,189.61,6522038,25-Mar-21,5.11,0.0259
209.24,213.2,201.61,205.2,SE,5269972,HISTORICAL_PRICES,SE,3/26/2021,1.61681E+12,0.067224319,0.067224319,205.2,209.24,213.2,201.61,5269972,205.2,209.24,213.2,201.61,5269972,26-Mar-21,6.63,0.0327
204.25,210,199.87,208.73,SE,4326348,HISTORICAL_PRICES,SE,3/29/2021,1.61707E+12,0.041772927,0.041772927,208.73,204.25,210,199.87,4326348,208.73,204.25,210,199.87,4326348,29-Mar-21,-4.99,-0.0238
214.35,217.5,199.78,203,SE,5073205,HISTORICAL_PRICES,SE,3/30/2021,1.61715E+12,0.093287769,0.093287769,203,214.35,217.5,199.78,5073205,203,214.35,217.5,199.78,5073205,30-Mar-21,10.1,0.0494
223.23,228.08,217.42,218,SE,4872453,HISTORICAL_PRICES,SE,3/31/2021,1.61724E+12,0.138580027,0.138580027,218,223.23,228.08,217.42,4872453,218,223.23,228.08,217.42,4872453,31-Mar-21,8.88,0.0414
236.45,240,228.21,228.5,SE,4868512,HISTORICAL_PRICES,SE,4/1/2021,1.61732E+12,0.206008365,0.206008365,228.5,236.45,240,228.21,4868512,228.5,236.45,240,228.21,4868512,1-Apr-21,13.22,0.0592
234.9,240.49,230.53,239.51,SE,2373655,HISTORICAL_PRICES,SE,4/5/2021,1.61767E+12,0.198102622,0.198102622,239.51,234.9,240.49,230.53,2373655,239.51,234.9,240.49,230.53,2373655,5-Apr-21,-1.55,-0.0066
247.03,250.325,235.2,237,SE,4752549,HISTORICAL_PRICES,SE,4/6/2021,1.61776E+12,0.259971437,0.259971437,237,247.03,250.325,235.2,4752549,237,247.03,250.325,235.2,4752549,6-Apr-21,12.13,0.0516
245.22,249.76,242.02,243,SE,3714231,HISTORICAL_PRICES,SE,4/7/2021,1.61784E+12,0.25073957,0.25073957,243,245.22,249.76,242.02,3714231,243,245.22,249.76,242.02,3714231,7-Apr-21,-1.81,-0.0073
253.11,258.6,249.23,250,SE,3912885,HISTORICAL_PRICES,SE,4/8/2021,1.61793E+12,0.290982352,0.290982352,250,253.11,258.6,249.23,3912885,250,253.11,258.6,249.23,3912885,8-Apr-21,7.89,0.0322
250.93,253.325,248.65,253.03,SE,2657633,HISTORICAL_PRICES,SE,4/9/2021,1.61802E+12,0.279863307,0.279863307,253.03,250.93,253.325,248.65,2657633,253.03,250.93,253.325,248.65,2657633,9-Apr-21,-2.18,-0.0086
245.34,250.35,240.82,247.81,SE,2915331,HISTORICAL_PRICES,SE,4/12/2021,1.61828E+12,0.251351627,0.251351627,247.81,245.34,250.35,240.82,2915331,247.81,245.34,250.35,240.82,2915331,12-Apr-21,-5.59,-0.0223
244.2,250.5,239.4,245,SE,2186381,HISTORICAL_PRICES,SE,4/13/2021,1.61836E+12,0.24553708,0.24553708,245,244.2,250.5,239.4,2186381,245,244.2,250.5,239.4,2186381,13-Apr-21,-1.14,-0.0046
245.56,251.93,242.88,247.39,SE,2776608,HISTORICAL_PRICES,SE,4/14/2021,1.61845E+12,0.252473733,0.252473733,247.39,245.56,251.93,242.88,2776608,247.39,245.56,251.93,242.88,2776608,14-Apr-21,1.36,0.0056
250.1,254.37,245.13,248.23,SE,3953141,HISTORICAL_PRICES,SE,4/15/2021,1.61853E+12,0.275629909,0.275629909,248.23,250.1,254.37,245.13,3953141,248.23,250.1,254.37,245.13,3953141,15-Apr-21,4.54,0.0185
252.42,254.26,247.1788,254.18,SE,1925624,HISTORICAL_PRICES,SE,4/16/2021,1.61862E+12,0.287463022,0.287463022,254.18,252.42,254.26,247.1788,1925624,254.18,252.42,254.26,247.1788,1925624,16-Apr-21,2.32,0.0093
250,261.55,247.55,249.29,SE,4399759,HISTORICAL_PRICES,SE,4/19/2021,1.61888E+12,0.275119861,0.275119861,249.29,250,261.55,247.55,4399759,249.29,250,261.55,247.55,4399759,19-Apr-21,-2.42,-0.0096
236.44,252.9,232.25,252.9,SE,3748950,HISTORICAL_PRICES,SE,4/20/2021,1.61897E+12,0.20595736,0.20595736,252.9,236.44,252.9,232.25,3748950,252.9,236.44,252.9,232.25,3748950,20-Apr-21,-13.56,-0.0542
241.09,242.9,228.22,230.43,SE,2212265,HISTORICAL_PRICES,SE,4/21/2021,1.61905E+12,0.229674589,0.229674589,230.43,241.09,242.9,228.22,2212265,230.43,241.09,242.9,228.22,2212265,21-Apr-21,4.65,0.0197
246.49,251.83,243.24,245,SE,2989041,HISTORICAL_PRICES,SE,4/22/2021,1.61914E+12,0.257217178,0.257217178,245,246.49,251.83,243.24,2989041,245,246.49,251.83,243.24,2989041,22-Apr-21,5.4,0.0224
258.59,259.205,249.29,250,SE,2704924,HISTORICAL_PRICES,SE,4/23/2021,1.61923E+12,0.31893298,0.31893298,250,258.59,259.205,249.29,2704924,250,258.59,259.205,249.29,2704924,23-Apr-21,12.1,0.0491
272.01,272.24,258,259.85,SE,3885669,HISTORICAL_PRICES,SE,4/26/2021,1.61949E+12,0.387381414,0.387381414,259.85,272.01,272.24,258,3885669,259.85,272.01,272.24,258,3885669,26-Apr-21,13.42,0.0519
267.14,278,267.12,272,SE,2829161,HISTORICAL_PRICES,SE,4/27/2021,1.61957E+12,0.362542079,0.362542079,272,267.14,278,267.12,2829161,272,267.14,278,267.12,2829161,27-Apr-21,-4.87,-0.0179
265.67,270.47,263.64,268.53,SE,1841784,HISTORICAL_PRICES,SE,4/28/2021,1.61966E+12,0.355044374,0.355044374,268.53,265.67,270.47,263.64,1841784,268.53,265.67,270.47,263.64,1841784,28-Apr-21,-1.47,-0.0055
256.83,270,255.23,269.98,SE,2448670,HISTORICAL_PRICES,SE,4/29/2021,1.61974E+12,0.309956136,0.309956136,269.98,256.83,270,255.23,2448670,269.98,256.83,270,255.23,2448670,29-Apr-21,-8.84,-0.0333
252.54,259.25,252.1,255.01,SE,2011542,HISTORICAL_PRICES,SE,4/30/2021,1.61983E+12,0.288075079,0.288075079,255.01,252.54,259.25,252.1,2011542,255.01,252.54,259.25,252.1,2011542,30-Apr-21,-4.29,-0.0167
254.62,259.71,252.72,256,SE,2141464,HISTORICAL_PRICES,SE,5/3/2021,1.62009E+12,0.298684076,0.298684076,256,254.62,259.71,252.72,2141464,256,254.62,259.71,252.72,2141464,3-May-21,2.08,0.0082
243.48,250.66,236.5,248.99,SE,4445149,HISTORICAL_PRICES,SE,5/4/2021,1.62018E+12,0.241864735,0.241864735,248.99,243.48,250.66,236.5,4445149,248.99,243.48,250.66,236.5,4445149,4-May-21,-11.14,-0.0438
244.9,250.26,242.68,245.72,SE,1586964,HISTORICAL_PRICES,SE,5/5/2021,1.62026E+12,0.249107416,0.249107416,245.72,244.9,250.26,242.68,1586964,245.72,244.9,250.26,242.68,1586964,5-May-21,1.42,0.0058
238.25,245.38,234.2,243,SE,4643753,HISTORICAL_PRICES,SE,5/6/2021,1.62035E+12,0.215189228,0.215189228,243,238.25,245.38,234.2,4643753,243,238.25,245.38,234.2,4643753,6-May-21,-6.65,-0.0272
240.28,248.79,238.02,242.99,SE,2281404,HISTORICAL_PRICES,SE,5/7/2021,1.62044E+12,0.225543201,0.225543201,242.99,240.28,248.79,238.02,2281404,242.99,240.28,248.79,238.02,2281404,7-May-21,2.03,0.0085
222.55,234.99,220.665,234.99,SE,6593106,HISTORICAL_PRICES,SE,5/10/2021,1.62069E+12,0.1351117,0.1351117,234.99,222.55,234.99,220.665,6593106,234.99,222.55,234.99,220.665,6593106,10-May-21,-17.73,-0.0738
228.77,229.8115,212.55,212.69,SE,5050581,HISTORICAL_PRICES,SE,5/11/2021,1.62078E+12,0.166836683,0.166836683,212.69,228.77,229.8115,212.55,5050581,212.69,228.77,229.8115,212.55,5050581,11-May-21,6.22,0.0279
213.42,224.86,213.37,223.38,SE,4473651,HISTORICAL_PRICES,SE,5/12/2021,1.62087E+12,0.088544323,0.088544323,223.38,213.42,224.86,213.37,4473651,223.38,213.42,224.86,213.37,4473651,12-May-21,-15.35,-0.0671
